,color,duration,gross,genres,facenumber_in_poster,language,content_rating,budget,title_year,imdb_score,aspect_ratio,director_avg_gross,director_avg_score,director_movies,actor_average_score,actor_average_gross,actor_movies,gross_class
705,Color,125.0,15738632.0,Action|Comedy|Crime|Thriller,2.0,English,R,42000000.0,2001.0,5.9,2.35,0.0,0.0,0,2.8425925925925934,26570727.37037037,7,3
706,Color,187.0,54116191.0,Crime|Drama|Mystery|Thriller|Western,1.0,English,R,44000000.0,2015.0,7.9,2.76,81431914.71428572,8.242857142857142,7,2.3592592592592596,11668395.777777774,7,5
707,Color,93.0,118153533.0,Comedy|Sport,2.0,English,PG-13,61000000.0,2007.0,6.3,1.85,0.0,0.0,0,5.627777777777778,58038354.53282829,25,7
708,Color,95.0,108012170.0,Adventure|Animation|Comedy|Family|Fantasy,0.0,English,PG,63000000.0,2011.0,5.5,1.85,83636564.33333333,5.566666666666666,3,3.4437037037037035,40176443.76111111,15,7
709,Color,117.0,210592590.0,Action|Drama|Fantasy|War,0.0,English,R,65000000.0,2006.0,7.7,2.35,58885635.0,7.4,2,1.803703703703704,10855925.351851853,6,9
710,Color,106.0,279167575.0,Comedy|Romance,6.0,English,PG-13,80000000.0,2004.0,6.3,1.85,159642913.75,6.699999999999998,4,3.702898550724638,37049742.03462157,30,9
711,Color,115.0,143151473.0,Comedy|Drama|Family,0.0,English,PG,60000000.0,2008.0,7.1,2.35,124732962.0,6.8,1,2.583333333333333,5484561.333333333,6,7
712,Color,189.0,136801374.0,Crime|Drama|Fantasy|Mystery,0.0,English,R,60000000.0,1999.0,8.5,1.85,28341469.0,9.3,1,4.7932098765432105,37534370.01234568,15,7
714,Color,81.0,135381507.0,Adventure|Animation|Comedy|Family|Sci-Fi,0.0,English,G,150000000.0,2005.0,5.8,1.85,46429661.0,7.1,2,4.447222222222221,58804288.23148149,12,7
715,Color,149.0,167735396.0,Crime|Drama|Mystery|Thriller,0.0,English,R,61000000.0,2014.0,8.1,2.35,77352125.33333333,7.71111111111111,9,2.963888888888889,14336988.361111112,9,8
716,Color,119.0,121468960.0,Action|Mystery|Thriller,1.0,English,PG-13,60000000.0,2002.0,7.9,2.35,10674112.5,7.35,2,3.3222222222222224,37307477.02645502,12,7
718,Color,116.0,102678089.0,Drama|Mystery|Thriller,0.0,English,R,95000000.0,1999.0,6.3,2.35,101087161.0,6.8,1,1.4111111111111112,3590463.0,3,7
719,Color,103.0,125603360.0,Comedy|Drama|Sci-Fi,1.0,English,PG,60000000.0,1998.0,8.1,1.85,80680058.0,7.7,2,0.6777777777777777,4764129.444444445,1,7
720,Color,99.0,101217900.0,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,2.0,English,PG,70000000.0,1998.0,7.0,1.85,0.0,0.0,0,0.7000000000000001,4194912.0,1,7
721,Color,92.0,104148781.0,Comedy|Family,1.0,English,PG,60000000.0,2003.0,5.5,1.85,85063651.5,5.35,2,2.963888888888889,33913245.25,8,7
722,Color,109.0,75573300.0,Action|Comedy|Crime|Drama|Thriller,1.0,English,R,61000000.0,2013.0,6.7,2.35,66489425.0,6.5,1,3.769753086419753,32774528.69341564,34,6
723,Color,87.0,93375151.0,Action|Comedy|Family|Fantasy,0.0,English,PG,60000000.0,2001.0,5.2,1.85,0.0,0.0,0,1.2833333333333334,11474341.5,3,6
724,Color,111.0,106126012.0,Action|Crime|Thriller,6.0,English,PG-13,60000000.0,2003.0,7.0,2.35,31974554.0,7.05,2,2.738888888888889,13468320.129629627,13,7
725,Color,101.0,93307796.0,Comedy|Romance,2.0,English,PG-13,60000000.0,2002.0,6.1,1.85,0.0,0.0,0,2.2722222222222217,13422663.0,5,6
726,Color,83.0,90646554.0,Adventure|Animation|Comedy|Family,0.0,English,PG,105000000.0,1998.0,6.6,1.85,0.0,0.0,0,2.2944444444444443,16520209.148148147,10,6
727,Color,113.0,109176215.0,Comedy,6.0,English,PG-13,60000000.0,2009.0,5.5,1.85,0.0,0.0,0,4.374074074074073,69596644.44444445,14,7
728,Color,107.0,82670733.0,Action|Drama|Sport,0.0,English,PG-13,60000000.0,1990.0,5.9,2.35,165223382.0,6.65,2,2.5344444444444445,24695320.65925926,10,6
729,Color,94.0,82569532.0,Adventure|Comedy|Family,6.0,English,PG,60000000.0,2005.0,5.4,2.35,86884153.5,6.45,2,1.2888888888888892,30803232.0,2,6
730,Color,132.0,81687587.0,Action|Sci-Fi|Thriller,0.0,English,PG-13,61000000.0,2015.0,6.4,2.35,102413606.0,6.8,1,2.936111111111112,34477190.22222222,7,6
731,Color,140.0,80574010.0,Drama|Romance,1.0,English,PG-13,60000000.0,2010.0,5.7,1.85,6754898.0,6.2,1,5.930270655270655,68039225.91452992,33,6
732,Color,125.0,75764085.0,Comedy|Drama|Fantasy|Romance,1.0,English,PG-13,60000000.0,2000.0,6.7,2.35,41067398.0,6.1,1,1.4976851851851851,10127516.523148147,11,6
733,Color,111.0,90356857.0,Action|Comedy|Crime|Thriller,4.0,English,PG-13,58000000.0,2010.0,7.1,2.35,76559233.0,6.65,2,3.9964502164502167,73336205.6038961,53,6
734,Color,156.0,75530832.0,Drama|Sport,5.0,English,R,55000000.0,1999.0,6.8,2.35,33212624.4,7.24,5,2.5124074074074074,15597565.035185184,12,6
735,Color,170.0,75370763.0,Drama|Romance|Western,0.0,English,PG-13,60000000.0,1998.0,6.5,1.85,54800000.0,7.8,1,0.8055555555555555,14423148.166666664,2,6
736,Color,120.0,100003492.0,Crime|Drama|Thriller,0.0,English,R,65000000.0,2004.0,7.6,2.35,53201479.33333334,7.5,3,5.175925925925926,52823674.48148147,28,7
